id,name,now_cost,position,team,cost_change_start_fall,creativity,status,form_rank,expected_assists_per_90,goals_scored,region,selected_rank,threat_rank_type,creativity_rank,direct_freekicks_order,assists,expected_goal_involvements,cost_change_event,web_name,form_rank_type,clean_sheets,penalties_missed,ict_index_rank_type,cost_change_start,value_season,can_select,expected_goals_conceded_per_90,clean_sheets_per_90,event_points,goals_conceded,form,cost_change_event_fall,transfers_out,threat_rank,points_per_game,value_form,minutes,ict_index_rank,chance_of_playing_next_round,red_cards,expected_assists,points_per_game_rank_type,influence_rank_type,now_cost_rank,creativity_rank_type,ep_next,dreamteam_count,yellow_cards,in_dreamteam,saves,penalties_order,bps,selected_rank_type,ep_this,saves_per_90,news_added,expected_goals,transfers_out_event,threat,news,ict_index,influence,transfers_in,expected_goals_conceded,points_per_game_rank,bonus,now_cost_rank_type,penalties_saved,starts_per_90,team_join_date,expected_goals_per_90,influence_rank,starts,own_goals,goals_conceded_per_90,total_points,transfers_in_event,chance_of_playing_this_round,corners_and_indirect_freekicks_order,expected_goal_involvements_per_90,selected_by_percent
1,Fábio Ferreira Vieira,54,MID,Arsenal,1,0.0,u,708,0.0,0,,659,320,721,,0,0.00,0,Fábio Vieira,316,0,0,321,-1,0.0,False,0.0,0.0,0,0,0.0,0,2796,718,0.0,0.0,0,721,0.0,0,0.00,322,321,132,322,0.0,0,0,False,0,,0,285,0.0,0.0,2024-08-29T11:06:25.241953Z,0.00,4,0.0,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0.0,0.0,439,0.00,722,0,80,0,0.0,,0.0,721,0,0,0.0,0,0,0.0,,0.0,0.0
2,Gabriel Fernando de Jesus,67,FWD,Arsenal,3,119.5,i,88,0.08,3,30.0,136,25,201,,2,3.57,0,G.Jesus,12,2,0,25,-3,6.3,True,0.87,0.3,0,5,3.2,0,1304164,77,2.5,0.5,600,183,0.0,0,0.52,24,24,36,25,0.0,2,4,False,0,,152,21,0.0,0.0,2025-01-12T22:00:07.802845Z,3.05,36920,255.0,Knee injury - Unknown return date,52.6,154.4,1237310,5.82,198,6,18,0,0.9,2022-07-04,0.46,258,6,0,0.75,42,98,0.0,,0.54,2.0
3,Gabriel dos Santos Magalhães,64,DEF,Arsenal,-4,156.5,a,143,0.05,3,30.0,7,3,161,,2,3.45,0,Gabriel,41,6,0,12,4,13.3,True,0.94,0.31,1,19,2.4,0,2495802,74,4.2,0.4,1718,85,100.0,0,1.00,4,13,49,35,2.9,2,3,False,0,,315,1,2.9,0.0,2024-11-27T10:30:06.325759Z,2.45,75827,260.0,,88.0,462.4,4056151,17.97,44,7,3,0,1.05,2020-09-01,0.13,42,20,0,1.0,85,54402,100.0,,0.18,28.7
4,Kai Havertz,78,FWD,Arsenal,2,240.9,a,101,0.07,8,80.0,44,5,104,,2,9.75,0,Havertz,14,6,0,6,-2,10.5,True,0.95,0.33,7,19,3.0,0,3172945,9,4.3,0.4,1660,27,100.0,0,1.38,11,8,13,8,3.5,1,4,False,0,3.0,302,11,3.5,0.0,2025-01-02T08:00:08.350130Z,8.37,11650,630.0,,127.6,404.4,2470985,17.45,41,11,5,0,1.03,2023-06-28,0.45,65,19,0,1.03,82,17688,100.0,,0.52,7.9
5,Karl Hein,40,GKP,Arsenal,0,0.0,u,452,0.0,0,,578,30,521,,0,0.00,0,Hein,54,0,0,63,0,0.0,False,0.0,0.0,0,0,0.0,0,4368,485,0.0,0.0,0,540,0.0,0,0.00,63,63,645,43,0.0,0,0,False,0,,0,69,0.0,0.0,2024-08-14T08:31:46.556082Z,0.00,16,0.0,Loaned to Real Valladolid,0.0,0.0,0,0.00,547,0,58,0,0.0,,0.0,540,0,0,0.0,0,0,0.0,,0.0,0.0
6,Jurriën Timber,56,DEF,Arsenal,-1,214.8,a,122,0.06,1,152.0,77,11,120,,1,1.70,-1,J.Timber,38,6,0,32,1,12.0,True,0.8,0.34,1,15,2.6,1,793192,125,3.5,0.5,1575,133,100.0,0,0.99,19,64,99,24,3.1,2,5,False,0,,253,26,3.1,0.0,2025-01-12T22:00:07.815228Z,0.71,23749,172.0,,64.1,256.8,1186609,13.96,88,5,10,0,1.03,2023-07-14,0.04,170,18,0,0.86,67,11271,100.0,,0.1,4.9
7,Jorge Luiz Frello Filho,47,MID,Arsenal,3,64.7,a,313,0.09,0,106.0,335,219,275,,0,0.51,0,Jorginho,155,1,0,185,-3,2.8,True,0.84,0.2,0,5,0.6,0,45052,417,1.3,0.1,456,382,100.0,0,0.47,174,179,324,169,1.1,0,3,False,0,,82,105,1.1,0.0,2025-01-12T22:00:07.826638Z,0.04,420,3.0,,10.4,35.8,28064,4.27,370,0,208,0,1.18,2023-01-31,0.01,396,6,0,0.99,13,215,100.0,,0.1,0.2
8,Jakub Kiwior,48,DEF,Arsenal,2,13.7,a,658,0.01,0,172.0,372,246,388,,0,0.03,0,Kiwior,240,1,0,136,-2,2.7,True,1.24,0.28,0,5,0.0,0,34382,680,1.6,0.0,323,409,,0,0.03,108,131,313,134,0.5,0,0,False,0,,39,131,0.5,0.0,,0.00,315,0.0,,6.3,49.2,24667,4.45,326,0,39,0,0.56,2023-01-23,0.0,377,2,0,1.39,13,119,,,0.01,0.2
9,Gabriel Martinelli Silva,67,MID,Arsenal,3,321.7,a,51,0.2,6,30.0,95,13,66,,2,6.75,0,Martinelli,22,6,0,23,-3,12.1,True,0.93,0.42,7,14,4.2,0,1019943,25,4.0,0.6,1276,33,100.0,0,2.88,26,35,38,51,4.7,1,1,False,0,,263,31,4.7,0.0,2024-10-18T16:00:06.884775Z,3.87,10663,545.0,,122.6,360.2,1065070,13.20,55,6,19,0,0.99,2019-07-15,0.27,103,14,0,0.99,81,14184,100.0,,0.47,3.7
12,Ethan Nwaneri,45,MID,Arsenal,0,66.8,i,196,0.16,2,241.0,278,136,270,,0,0.71,0,Nwaneri,90,0,0,156,0,5.1,True,0.62,0.0,0,1,1.6,0,100103,243,1.9,0.4,230,310,0.0,0,0.41,118,150,422,165,0.0,0,1,False,0,,84,86,0.0,0.0,2025-01-04T22:00:06.872110Z,0.30,3426,69.0,Muscle injury - Unknown return date,23.3,97.0,114873,1.59,271,1,260,0,0.78,2022-09-17,0.12,324,2,0,0.39,23,210,0.0,,0.28,0.4
13,Martin Ødegaard,83,MID,Arsenal,2,495.4,a,90,0.25,1,161.0,71,49,26,1.0,3,6.27,0,Ødegaard,43,6,0,42,-2,6.5,True,0.73,0.45,2,10,3.2,0,1884238,76,3.6,0.4,1198,64,100.0,0,3.29,37,74,11,21,3.7,0,1,False,0,2.0,242,21,3.7,0.0,2024-09-10T00:30:06.311550Z,2.98,17928,258.0,,100.0,243.6,848921,9.78,82,6,8,0,1.05,2021-08-20,0.22,184,14,0,0.75,54,5980,100.0,3.0,0.47,5.3
15,David Raya Martin,56,GKP,Arsenal,-1,0.0,a,107,0.0,0,200.0,8,76,726,,0,0.01,0,Raya,11,7,0,12,1,14.5,True,0.89,0.32,1,21,2.8,0,2331654,725,3.7,0.5,1980,212,100.0,0,0.01,9,12,96,76,3.3,1,2,False,52,,300,1,3.3,2.36,2024-09-25T21:30:06.211210Z,0.00,63037,0.0,,45.3,452.8,2549844,19.65,75,6,1,0,1.0,2024-07-04,0.0,46,22,0,0.95,81,12917,100.0,,0.0,28.6
16,Declan Rice,62,MID,Arsenal,3,527.1,a,141,0.21,1,241.0,117,83,22,2.0,3,4.99,0,Rice,70,5,0,35,-3,9.0,True,0.84,0.29,2,19,2.4,0,631557,123,2.8,0.4,1559,54,100.0,1,3.56,66,39,59,18,2.9,0,3,False,0,,331,38,2.9,0.0,2024-12-14T22:30:07.561621Z,1.43,4896,173.0,,104.3,348.2,231369,14.58,156,6,36,0,1.04,2023-07-15,0.08,109,18,0,1.1,56,2673,100.0,2.0,0.29,2.6
17,Bukayo Saka,102,MID,Arsenal,-2,630.0,i,728,0.4,5,241.0,36,7,9,,11,9.77,0,Saka,327,6,0,5,2,10.5,True,0.75,0.43,0,13,0.0,0,7578414,13,6.7,0.0,1268,7,0.0,0,5.60,3,7,4,8,0.0,4,3,False,0,1.0,435,9,0.0,0.0,2024-12-21T21:30:07.668871Z,4.17,17619,604.0,Hamstring injury - Expected back 08 Mar,174.9,516.2,5221167,10.52,4,16,3,0,1.14,2018-11-28,0.3,21,16,0,0.92,107,379,0.0,1.0,0.7,9.5
18,William Saliba,62,DEF,Arsenal,-2,78.2,d,124,0.04,2,73.0,12,52,258,,0,2.68,-1,Saliba,39,7,0,46,2,12.3,True,0.83,0.36,0,17,2.6,1,3601227,208,3.8,0.4,1739,160,75.0,1,0.80,12,25,68,72,2.3,2,2,False,0,,322,5,3.1,0.0,2025-01-18T23:00:07.959087Z,1.88,216885,89.0,Muscle injury - 75% chance of playing,56.6,396.4,2148172,15.97,68,6,4,0,1.04,2019-07-25,0.1,70,20,0,0.88,76,2863,100.0,,0.14,25.9
20,Thomas Partey,50,MID,Arsenal,0,237.8,a,134,0.08,2,81.0,227,104,107,,3,3.00,0,Thomas,63,4,0,66,0,13.0,True,0.96,0.22,2,19,2.4,0,246547,165,3.1,0.5,1671,109,100.0,0,1.55,55,31,197,78,2.9,0,2,False,0,,351,69,2.9,0.0,2024-11-30T22:00:07.258906Z,1.45,1987,126.0,,73.6,369.6,270435,17.79,119,5,121,0,0.97,2020-10-05,0.08,90,18,0,1.02,65,882,100.0,,0.16,0.8
21,Kieran Tierney,43,DEF,Arsenal,2,10.5,a,380,1.59,0,243.0,544,153,399,,0,0.23,0,Tierney,134,0,0,163,-2,0.2,True,1.45,0.0,0,0,0.2,0,6162,423,1.0,0.0,13,471,100.0,0,0.23,150,169,558,137,0.7,0,0,False,0,,7,194,0.7,0.0,2024-08-12T14:30:04.394338Z,0.00,121,2.0,,1.5,2.2,3403,0.21,424,0,123,0,0.0,2019-08-08,0.0,483,0,0,0.0,1,116,100.0,,1.59,0.0
22,Tomiyasu Takehiro,48,DEF,Arsenal,2,0.3,i,654,0.0,0,108.0,556,132,464,,0,0.18,0,Tomiyasu,239,0,0,167,-2,0.2,True,0.6,0.0,0,0,0.0,0,7632,380,1.0,0.0,6,478,0.0,0,0.00,157,175,301,170,0.0,0,0,False,0,,2,196,0.0,0.0,2024-10-18T16:00:06.930143Z,0.18,24,9.0,Knee injury - Unknown return date,1.0,0.4,1585,0.04,455,0,34,0,0.0,2021-08-31,2.7,495,0,0,0.0,1,19,0.0,,2.7,0.0
23,Leandro Trossard,68,MID,Arsenal,2,330.4,a,23,0.16,4,21.0,130,25,63,,5,5.45,0,Trossard,15,5,0,32,-2,11.8,True,0.77,0.35,10,15,5.6,0,532381,42,3.6,0.8,1278,51,100.0,1,2.22,36,43,31,48,6.1,1,1,False,0,4.0,298,43,6.1,0.0,2024-11-21T08:30:08.540890Z,3.23,3777,398.0,,107.0,342.6,499767,10.93,81,10,15,0,0.99,2023-01-20,0.23,114,14,0,1.06,80,38596,100.0,4.0,0.39,2.1
24,Benjamin White,61,DEF,Arsenal,4,55.3,i,717,0.04,0,241.0,129,104,294,,1,0.45,0,White,246,3,0,109,-4,4.4,True,1.28,0.39,0,7,0.0,0,977786,315,3.0,0.0,694,324,0.0,0,0.32,36,105,71,85,0.0,0,2,False,0,,112,50,0.0,0.0,2024-11-14T13:00:07.861117Z,0.13,1453,29.0,Knee injury - Unknown return date,21.3,128.4,145863,9.87,133,0,5,0,0.91,2021-07-30,0.02,287,7,0,0.91,27,51,0.0,,0.06,2.2
